,tech field,math scale,attention to detail scale,statistics scale,Log or Art,facts or feelings,problem solving and algorithm scale,persuasion,vocabolary needed scale,face or hands,software or hardware
76,Product Design/Management,2,9,1,Artistic,Facts,2,No,5,Face of the Project,Software
77,Product Design/Management,2,8,1,Artistic,Feelings,2,No,6,Hand behind the Scenes,Software
78,Computer Hardware,6,6,3,Logical,Facts,6,No,6,Hand behind the Scenes,Hardware
79,Computer Hardware,4,8,2,Logical,Facts,7,No,3,Hand behind the Scenes,Hardware
80,Computer Hardware,6,9,1,Logical,Facts,4,No,5,Hand behind the Scenes,Hardware
81,Computer Hardware,3,10,1,Logical,Facts,5,No,4,Hand behind the Scenes,Hardware
82,Computer Hardware,8,8,2,Logical,Facts,7,No,6,Hand behind the Scenes,Hardware
83,Graphics Design,7,9,6,Artistic,Feelings,7,Yes,5,Hand behind the Scenes,Software
84,Graphics Design,6,8,4,Artistic,Facts,7,No,4,Hand behind the Scenes,Software
85,Graphics Design,7,10,5,Artistic,Feelings,8,No,7,Hand behind the Scenes,Software
86,Machine Learning,9,9,10,Logical,Facts,9,No,5,Hand behind the Scenes,Software
87,Machine Learning,10,10,9,Logical,Facts,8,No,7,Hand behind the Scenes,Software
88,UI/UX Deign,7,9,6,Logical,Feelings,8,Yes,8,Hand behind the Scenes,Software
89,UI/UX Deign,7,10,6,Artistic,Feelings,8,No,6,Hand behind the Scenes,Software
90,IT Network Engineering,8,9,5,Logical,Facts,10,Yes,5,Hand behind the Scenes,Software
91,IT Network Engineering,8,9,7,Logical,Facts,9,No,6,Hand behind the Scenes,Software
92,Product Design/Management,4,10,3,Logical,Facts,7,Yes,7,Hand behind the Scenes,Software
93,Product Design/Management,4,9,4,Logical,Facts,9,Yes,7,Hand behind the Scenes,Software
94,Content Development,7,10,4,Logical,Facts,7,Yes,9,Hand behind the Scenes,Software
95,Content Development,6,8,5,Logical,Feelings,6,Yes,8,Hand behind the Scenes,Software
96,Content Development,5,9,6,Logical,Facts,8,No,9,Hand behind the Scenes,Software
97,Content Development,5,10,4,Logical,Facts,8,No,9,Hand behind the Scenes,Software
98,Content Development,4,9,3,Logical,Facts,7,No,9,Hand behind the Scenes,Software
99,Content Development,5,10,2,Logical,Feelings,6,No,10,Hand behind the Scenes,Software
100,Graphics Design,1,5,1,Artistic,Feelings,1,No,4,Hand behind the Scenes,Software
101,Data Analysis,7,9,10,Logical,Facts,7,No,1,Hand behind the Scenes,Software
102,Data Analysis,8,9,9,Logical,Facts,5,No,2,Hand behind the Scenes,Software
103,UI/UX Deign,2,5,1,Artistic,Feelings,1,Yes,5,Hand behind the Scenes,Software
104,UI/UX Deign,1,7,1,Artistic,Feelings,2,No,5,Hand behind the Scenes,Software
105,UI/UX Deign,1,3,1,Artistic,Feelings,1,No,2,Face of the Project,Software
106,Digital Marketing,1,8,1,Logical,Feelings,1,Yes,9,Face of the Project,Software
107,Digital Marketing,1,9,1,Logical,Feelings,1,Yes,10,Face of the Project,Software
108,Digital Marketing,1,6,1,Artistic,Feelings,1,Yes,8,Face of the Project,Software
109,Digital Marketing,1,10,1,Logical,Feelings,1,Yes,10,Face of the Project,Software
110,IT Network Engineering,1,8,1,Logical,Facts,7,No,2,Hand behind the Scenes,Hardware
111,IT Network Engineering,1,10,1,Logical,Facts,6,No,1,Hand behind the Scenes,Hardware
112,IT Network Engineering,1,6,1,Logical,Facts,10,No,1,Hand behind the Scenes,Hardware
113,IT Network Engineering,1,6,1,Logical,Facts,6,No,3,Hand behind the Scenes,Hardware
114,Product Design/Management,1,10,3,Logical,Facts,4,Yes,5,Face of the Project,Software
115,Product Design/Management,1,9,1,Logical,Facts,6,Yes,5,Face of the Project,Software
116,Product Design/Management,6,8,1,Logical,Facts,1,Yes,9,Face of the Project,Software
117,Computer Hardware,1,9,1,Logical,Facts,10,No,1,Face of the Project,Hardware
118,Computer Hardware,1,10,1,Logical,Facts,10,No,1,Hand behind the Scenes,Hardware
119,Back-end Developer,7,10,5,Logical,Facts,10,No,5,Face of the Project,Software
